ID;CLASS;DEPTH (M);RES A10;RES A20;RES A30;RES A60;RES A 90;SONIC P;SONIC S;GAMMA RAY;CALIPER;NEUTRON POROSITY;DENSITY (G/CM3);OIL SATURATION;calcite;dolomite ;quartz;k-feldspar;plagioclase;"illite ""type"" (1)";kaolinite;chlorite;pyrite
D32;CLAYSTONE;1015.5;1.03456;0.70305;0.64546;0.60995;0.60787;167.7117;434.88126;105;24.17351;0.20036;2.15124;0.01;5.040148687;0.270677376;26.37232232;0.0;15.28644657;28.43244362;7.260576105;12.72318015;4.61420517
D33;CLAYSTONE;1016;1.03428;0.70292;0.64542;0.60987;0.60814;168.05176;434.88126;105;24.17351;0.20036;2.15122;0.01;4.9911906;0.267847538;26.08590672;0.0;15.25618258;28.62245045;7.287626386;12.79422367;4.694572067
D34;CLAYSTONE;1016.5;1.03416;0.7032;0.64558;0.60985;0.60842;168.55879;434.88126;105;24.17351;0.20035;2.1512;0.01;5.111997545;0.296967745;26.19762655;0.0;15.484339;28.36260614;7.200524962;12.73953642;4.606401634
D35;CLAYSTONE;1017;1.03417;0.7033;0.64554;0.60976;0.60849;169.02289;434.88126;105;24.17351;0.20035;2.15118;0.01;5.309187382;0.321467042;26.5591409;0.0;15.69957192;27.94225965;7.084167987;12.6082092;4.475995922
D36;CLAYSTONE;1017.5;1.03394;0.70294;0.6453;0.60957;0.60845;169.17287;434.88126;105;24.17351;0.20035;2.15116;0.01;5.323737893;0.32152015;26.69250175;0.0;15.68672997;27.87012007;7.08355228;12.56742528;4.454412603
D37;CLAYSTONE;1018;1.03395;0.70305;0.64558;0.60964;0.60869;169.17287;434.88126;105;24.17351;0.20035;2.15114;0.01;5.18194329;0.296098763;26.53241204;0.0;15.48658827;28.15128185;7.172064193;12.64530272;4.534308887
D38;CLAYSTONE;1018.5;1.03386;0.70308;0.64552;0.60989;0.60894;169.17287;434.88126;105;24.17351;0.20035;2.15113;0.01;5.086566945;0.28197315;26.30915938;0.0;15.37138542;28.38686615;7.229845289;12.71976319;4.614440477
D39;CLAYSTONE;1019;1.03416;0.70316;0.64578;0.60964;0.60865;169.17287;434.88126;105;24.17351;0.20034;2.15111;0.01;5.099282245;0.289470448;26.25339297;0.0;15.42786221;28.37473615;7.215185126;12.7296498;4.610421056
D40;CLAYSTONE;1019.5;1.03364;0.70266;0.64535;0.60936;0.60799;169.17287;434.88126;105;24.17351;0.20034;2.1511;0.01;5.204234814;0.305468745;26.40626693;0.0;15.56371707;28.1584979;7.149676556;12.6689295;4.543208489
D41;CLAYSTONE;1020;1.03273;0.70335;0.64521;0.60887;0.60722;169.17287;434.88126;105;24.17351;0.20034;2.15108;0.01;5.263986353;0.313494447;26.54938434;0.0;15.62522352;28.01430898;7.116614418;12.61817739;4.498810546
D42;CLAYSTONE;1020.5;1.03105;0.70235;0.64496;0.60913;0.60691;169.17287;434.88126;105;24.17351;0.20034;2.15107;0.01;5.222964822;0.304796605;26.54089819;0.0;15.55590589;28.08279541;7.144339305;12.63174006;4.516559716
D43;CLAYSTONE;1021;1.0276;0.70281;0.64317;0.60996;0.60569;169.17287;434.88126;105;24.17351;0.20034;2.15106;0.01;5.154765883;0.293384878;26.42502878;0.0;15.46364566;28.23483078;7.187092297;12.67575162;4.565500097
D44;CLAYSTONE;1021.5;1.02263;0.70167;0.64064;0.60565;0.60419;169.17287;434.88126;105;24.17351;0.20033;2.15105;0.01;5.127024064;0.291427663;26.33921088;0.0;15.44575393;28.30478346;7.201138711;12.70270071;4.587960576
D45;CLAYSTONE;1022;1.02939;0.70931;0.64677;0.6096;0.60866;169.17287;434.88126;105;24.17351;0.20033;2.15104;0.01;5.165629439;0.298448204;26.3727389;0.0;15.5047355;28.23164068;7.175407634;12.68581511;4.565584532
D46;CLAYSTONE;1022.5;1.03529;0.71535;0.65106;0.61411;0.61389;169.17287;434.88126;105;24.17351;0.20033;2.15103;0.01;5.214807896;0.305971325;26.46106162;0.0;15.56497951;28.12297483;7.146011026;12.65199625;4.532197539
D47;CLAYSTONE;1023;1.02789;0.71371;0.6488;0.61112;0.61154;169.17287;434.88126;105;24.17351;0.20033;2.15102;0.01;5.218886359;0.305383965;26.50097991;0.0;15.5604427;28.10288512;7.145175166;12.64186815;4.524378628
D48;CARBONATE;1023.5;0.99757;0.70469;0.65655;0.62678;0.63169;172.36029;486.4841;100.38462;15.45183;0.55743;2.07288;0.07;99.7;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0
D49;CARBONATE;1024;0.98931;0.71379;0.67069;0.64553;0.64625;172.43257;489.62427;97.73985;15.27923;0.54547;2.06581;0.07;98.2;1.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0
